source_event_id,occurred_on,case_number,running_number,case_status,title,campaign_family,deficiency_domain_hypothesis,supplier_categories_hypothesis,external_purchase_likelihood,specificity,organisation_number,organisation_name,sector_guess,workplace_cfar,workplace_name,manual_clear_business_problem,manual_external_supplier_needed,manual_supplier_category,manual_notes
2026/045007-5,2026-09-23,2026/045007,5,Pågående,Återkommande besiktning - Fordonslyft flerpelare,Återkommande besiktning (periodic inspection of equipment),Missing/failed mandatory periodic inspection of lifting equipment / loading docks,Accredited inspection body; equipment repair/replacement,HIGH,very high,5560424391,TRANSDEV SVERIGE AB,Transport / logistics,18789974,OMRÅDE NORRTÄLJE,,,,
2026/045122-4,2026-09-23,2026/045122,4,Pågående,Inspektion inom Ett hållbart arbetsliv – pilot förskolan 2026,Ett hållbart arbetsliv – pilot förskolan,Organisational and social work environment in preschools,Mostly internal (public sector),LOW,low,2120001959,LJUSNARSBERGS KOMMUN,Public sector,19407105,FÖRSKOLAN GARHYTTAN,,,,
2026/045471-4,2026-09-23,2026/045471,4,Pågående,Inspektion inom Fortlöpande tillsyn SAM i mindre företag,Fortlöpande tillsyn SAM i mindre företag,"Systematic work environment management in small companies: routines, risk assessment, documentation",SAM consulting; digital SAM tools; occupational health service subscription,MEDIUM,low,5590591235,NORRSPÅR I TVÄRÅLUND AB,Unclassified (name gives no hint),57006546,NORRSPÅR I TVÄRÅLUND AB,,,,
2026/045648-5,2026-09-23,2026/045648,5,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,2120000142,STOCKHOLMS KOMMUN,Public sector,47480140,HÖGALIDS HEMTJÄNST,,,,
2026/045703-5,2026-09-23,2026/045703,5,Pågående,Återkommande besiktning - 4 stycken Lastbryggor,Återkommande besiktning (periodic inspection of equipment),Missing/failed mandatory periodic inspection of lifting equipment / loading docks,Accredited inspection body; equipment repair/replacement,HIGH,very high,5566747365,SAGAX LILLSJÖ AB,Unclassified (name gives no hint),44897064,SAGAX LILLSJÖ AB,,,,
2026/046349-3,2026-09-23,2026/046349,3,Pågående,Inspektion inom Ett hållbart arbetsliv – pilot förskolan 2026,Ett hållbart arbetsliv – pilot förskolan,Organisational and social work environment in preschools,Mostly internal (public sector),LOW,low,8572048174,MONTESSORIFÖRSKOLAN VILLA VILLEKULLA,Care / social services,25463225,MONTESSORIFÖRSKOLAN VILLA VILLEKULLA,,,,
2026/047155-5,2026-09-23,2026/047155,5,Pågående,Inspektion inom Ett hälsosamt arbetsliv arbetsanpassning,Ett hälsosamt arbetsliv – arbetsanpassning,Work adaptation and rehabilitation routines,Mostly internal; occupational health service,LOW,low,5568763592,NORDIC CONCRETE AB,Manufacturing / industry,51818508,NORDIC CONCRETE AB,,,,
2026/047362-4,2026-09-23,2026/047362,4,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,2120002742,LULEÅ KOMMUN,Public sector,27385467,BERGSTADENS VÅRD- OCH OMSORGSBOENDE,,,,
2026/048497-4,2026-09-23,2026/048497,4,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,5565092482,FRÖSUNDA OMSORG AB,Care / social services,71754956,GIPSGJUTAREN,,,,
2026/048791-5,2026-09-23,2026/048791,5,Pågående,Tillbud 20260710 Fallande/flygande föremål,Tillbud-triggered inspection: Fallande/flygande föremål,Falling / flying objects (tillbud on 2026-07-10),Racking inspection; load securing; PPE,MEDIUM,high,5564297405,WISBY BYGGELEMENT AB,Construction / civil / installation,30263669,WISBY BYGGELEMENT AB,,,,
2026/049008-6,2026-09-23,2026/049008,6,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5567001473,LEO'S AB,Unclassified (name gives no hint),58262072,LEO'S AB,,,,
2026/049324-5,2026-09-23,2026/049324,5,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,5568659055,KL INDUSTRI AB,Manufacturing / industry,10668226,KL INDUSTRI AB,,,,
2026/049883-7,2026-09-23,2026/049883,7,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5568179799,STOCKHOLM MEETING SELECTION AB,Hospitality / food service,38892832,NÄSBY SLOTT & KONFERENS,,,,
2026/050085-5,2026-09-23,2026/050085,5,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5565557948,HÄGGVALL SERVICE AB,Unclassified (name gives no hint),37510120,HÄGGVALL SERVICE AB,,,,
2026/050293-4,2026-09-23,2026/050293,4,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5592796956,SJÖMANSKYRKAN GÄVLE AB,Unclassified (name gives no hint),66703901,SJÖMANSKYRKAN GÄVLE AB,,,,
2026/051097-7,2026-09-23,2026/051097,7,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,5567007405,SCANMATIC PNEUMATIC CONVEYING SYSTEM AB,Manufacturing / industry,28311561,SCANMATIC PNEUMATIC CONVEYING SYSTEM AB,,,,
2026/052292-4,2026-09-23,2026/052292,4,Pågående,Olycka 20260816 Fysiskt våld,Olycka-triggered inspection: Fysiskt våld,Violence at work (olycka on 2026-08-16),Security consulting; personal alarms; conflict-management training,MEDIUM,high,5568950884,TRANA PSYKOLOGER AB,Care / social services,52340890,TRANA PSYKOLOGER AB,,,,
2026/052303-3,2026-09-23,2026/052303,3,Pågående,Inspektion inom Fortlöpande tillsyn SAM i mindre företag,Fortlöpande tillsyn SAM i mindre företag,"Systematic work environment management in small companies: routines, risk assessment, documentation",SAM consulting; digital SAM tools; occupational health service subscription,MEDIUM,low,5590544960,M GRENHOLMS TRAKTOR AB,Automotive / vehicle service,56974140,M GRENHOLMS TRAKTOR AB,,,,
2026/052494-3,2026-09-23,2026/052494,3,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,5590366042,EAST COAST INDUSTRILACKERING AB,Automotive / vehicle service,56627037,EAST COAST INDUSTRILACKERING AB,,,,
2026/053761-7,2026-09-23,2026/053761,7,Pågående,Olycka 20260826 Handhållet verktyg/föremål,Olycka-triggered inspection: Handhållet verktyg/föremål,Hand-held tool injury (olycka on 2026-08-26),Tools/PPE; training,MEDIUM,high,5590542808,INFRASKOG SVERIGE AB,Construction / civil / installation,57231177,INFRASKOG SVERIGE AB,,,,
2026/054099-3,2026-09-23,2026/054099,3,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5569298150,SKOTTORPS BYGGHANDEL AB,Construction / civil / installation,53488490,SKOTTORPS BYGGHANDEL AB,,,,
2026/054575-3,2026-09-23,2026/054575,3,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,5595707323,NORDIC CONTAINER SOLUTIONS I GÖTEBORG AB,Manufacturing / industry,73808834,NORDIC CONTAINER SOLUTIONS I GÖTEBORG AB,,,,
2026/054597-3,2026-09-23,2026/054597,3,Pågående,Inspektion inom Ett hållbart arbetsliv i välfärden - hemtjänst,Ett hållbart arbetsliv i välfärden - hemtjänst,Organisational and social work environment in home care,Mostly internal (public sector); organisational consulting,LOW,low,5590862032,HÖGANÄS OMSORG AB,Care / social services,61263372,HEMVÅRDENS HUS,,,,
2026/055115-4,2026-09-23,2026/055115,4,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5560125220,BEIJER BYGGMATERIAL AKTIEBOLAG,Construction / civil / installation,31141724,BEIJER BYGGMATERIAL AKTIEBOLAG,,,,
2026/055323-4,2026-09-23,2026/055323,4,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,5591987432,L.E ENTREPRENAD & BYGGSERVICE AB,Construction / civil / installation,60627122,L.E ENTREPRENAD & BYGGSERVICE AB,,,,
2026/055710-2,2026-09-23,2026/055710,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5561888404,OLLE SVENSSONS PARTIAFFÄR AKTIEBOLAG,Retail / wholesale,40199440,OLLE SVENSSONS PARTIAFFÄR AKTIEBOLAG,,,,
2026/056267-4,2026-09-23,2026/056267,4,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,5569282238,SÖDERSLÄTTS PORT & SMIDES AB,Manufacturing / industry,53266284,SÖDERSLÄTTS PORT & SMIDES AB,,,,
2026/056785-4,2026-09-23,2026/056785,4,Pågående,Inspektion inom Ett hållbart arbetsliv i välfärden - hemtjänst,Ett hållbart arbetsliv i välfärden - hemtjänst,Organisational and social work environment in home care,Mostly internal (public sector); organisational consulting,LOW,low,5590862032,HÖGANÄS OMSORG AB,Care / social services,61263372,HEMVÅRDENS HUS,,,,
2026/056920-4,2026-09-23,2026/056920,4,Pågående,Olycka 20260907 Fysiskt våld,Olycka-triggered inspection: Fysiskt våld,Violence at work (olycka on 2026-09-07),Security consulting; personal alarms; conflict-management training,MEDIUM,high,2120001124,MALMÖ KOMMUN,Public sector,70747944,DAGLIG VERKSAMHET,,,,
2026/056987-5,2026-09-23,2026/056987,5,Pågående,Olycka 20260908 Fallande/flygande föremål,Olycka-triggered inspection: Fallande/flygande föremål,Falling / flying objects (olycka on 2026-09-08),Racking inspection; load securing; PPE,MEDIUM,high,5569209207,AB VÄGG & TAKSYSTEM I GÖTEBORG,Manufacturing / industry,53189346,AB VÄGG & TAKSYSTEM I GÖTEBORG,,,,
2026/057413-3,2026-09-23,2026/057413,3,Pågående,Inspektion inom Ett tryggt arbetsliv Arbete och säkerhet intill väg,Arbete och säkerhet intill väg (roadwork safety),"Traffic protection at road works, TA-plans, competence","Traffic safety equipment (TMA, barriers, signage) rental; TA-plan services; Arbete på väg training",HIGH,high,5566618392,MICKE & KENT TRÄDGÅRD AKTIEBOLAG,Gardening / property service,43292341,MICKE & KENT TRÄDGÅRD AKTIEBOLAG,,,,
2026/057844-3,2026-09-23,2026/057844,3,Pågående,Tillbud 20260908 Maskin eller transportanordning,Tillbud-triggered inspection: Maskin eller transportanordning,Machine / transport equipment injury (tillbud on 2026-09-08),Machine guarding; machine safety consulting (risk assessment); maintenance,HIGH,high,5564584638,P O HILLER TRÄVAROR AKTIEBOLAG,Manufacturing / industry,30819577,MOSSBODA SÅG,,,,
2026/058034-4,2026-09-23,2026/058034,4,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,,,Unclassified (name gives no hint),73278392,,,,,
2026/058159-2,2026-09-23,2026/058159,2,Pågående,Inspektion inom Systematiken i byggprojektets arbetsmiljöarbete,Systematiken i byggprojektets arbetsmiljöarbete,"Construction project coordination: Bas-P/Bas-U, arbetsmiljöplan, planning",Bas-P/Bas-U training and certification; construction H&S consulting,MEDIUM,medium,5593912271,T3 HUS 2 AB,Construction / civil / installation,61084414,T3 HUS 2 AB,,,,
2026/058199-2,2026-09-23,2026/058199,2,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,5593098089,PIZZERIA & RESTAURANG 97:AN AB,Hospitality / food service,67352351,PIZZERIA & RESTAURANG 97:AN AB,,,,
2026/059016-3,2026-09-23,2026/059016,3,Avslutat,Tips om misstänkt missförhållande på arbetsplats,Tips om misstänkt missförhållande,Tip-triggered inspection,Unknown until content is read,UNKNOWN,low,5590958814,STUVSTA DÄCK AB,Automotive / vehicle service,61034526,STUVSTA DÄCK AB,,,,
2026/059372-2,2026-09-23,2026/059372,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5562344282,RÖLUNDA PRODUKTER AKTIEBOLAG,Manufacturing / industry,28584886,VALBO,,,,
2026/059410-3,2026-09-23,2026/059410,3,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,2120003005,UPPSALA KOMMUN,Public sector,19308238,GRÄNBYSKOLAN OCH LILJEFORSSKOLAN,,,,
2026/059590-4,2026-09-23,2026/059590,4,Pågående,Olycka 20260910 Maskin eller transportanordning,Olycka-triggered inspection: Maskin eller transportanordning,Machine / transport equipment injury (olycka on 2026-09-10),Machine guarding; machine safety consulting (risk assessment); maintenance,HIGH,high,5565686721,PEAB ANLÄGGNING AB,Construction / civil / installation,58805524,PEAB ANLÄGGNING AB,,,,
2026/059989-2,2026-09-23,2026/059989,2,Pågående,Inspektion inom Ett tryggt arbetsliv Fall kopplat till arbetsutrustning/ställningar/hissar,Fall kopplat till arbetsutrustning/ställningar/hissar,"Fall protection on equipment, scaffolding, lifts",Fall protection equipment; scaffolding contractors/inspection; lift inspection; training,HIGH,high,5594936303,SKYHIGH MONTAGE & SERVICE AB,Gardening / property service,71860167,SKYHIGH MONTAGE & SERVICE AB,,,,
2026/060086-2,2026-09-23,2026/060086,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5590861984,FORSBACKA KULVERK AB,Construction / civil / installation,57863094,FORSBACKA KULVERK AB,,,,
2026/060098-2,2026-09-23,2026/060098,2,Pågående,Inspektion inom Övrig tillsyn – Asbest (ej tillståndsansökningar),Övrig tillsyn – Asbest,"Asbestos handling: permits, competence, analysis, protective measures",Asbestos analysis labs; certified removal contractors; asbestos training,HIGH,high,5591066930,A HÄLLGREN NORD AB,Construction / civil / installation,58244286,A HÄLLGREN NORD AB,,,,
2026/060833-4,2026-09-23,2026/060833,4,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5594899212,NYING & WIK AB,Unclassified (name gives no hint),71757710,NYING & WIK AB,,,,
2026/060834-2,2026-09-23,2026/060834,2,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,2120002262,AVESTA KOMMUN,Public sector,19202233,KANSLI,,,,
2026/060943-2,2026-09-23,2026/060943,2,Pågående,Inspektion inom Fortlöpande tillsyn - Unga i arbetslivet,Fortlöpande tillsyn - Unga i arbetslivet (young workers),"Rules for minors, introduction, supervision, risk assessment",Mostly internal; e-learning/introduction training,LOW,low,5594800418,MITTEN MACK AB,Automotive / vehicle service,71466304,MITTEN MACK AB,,,,
2026/060965-3,2026-09-23,2026/060965,3,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5591030381,NORDISKA BILKOMPANIET AB,Unclassified (name gives no hint),58185851,NORDISKA BILKOMPANIET AB,,,,
2026/060977-2,2026-09-23,2026/060977,2,Pågående,Inspektion inom Fortlöpande tillsyn Fall från samma nivå,Fall från samma nivå (slips and trips),"Slip/trip hazards: floors, housekeeping, lighting",Anti-slip flooring/mats; lighting; minor works,MEDIUM,medium,5565371662,DOLLARSTORE AB,Retail / wholesale,69304301,DOLLARSTORE AB,,,,
2026/061001-2,2026-09-23,2026/061001,2,Pågående,Inspektion inom Ett tryggt arbetsliv – truck (oanmäld),"Truck (forklift), announced and unannounced","Forklift permits/competence, daily checks, traffic separation, maintenance",Forklift training providers; equipment maintenance/inspection; floor marking/barriers,HIGH,high,5561489641,ÖE TERMINAL AKTIEBOLAG,Transport / logistics,11068186,ÖE TERMINAL AKTIEBOLAG,,,,
2026/061007-2,2026-09-23,2026/061007,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5568050602,LINDBLOMS BILSERVICE AB,Automotive / vehicle service,49360712,LINDBLOMS BILSERVICE AB,,,,
2026/061018-3,2026-09-23,2026/061018,3,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5591293773,PINGFAN XILE AB,Unclassified (name gives no hint),58885427,PINGFAN XILE AB,,,,
2026/061026-2,2026-09-23,2026/061026,2,Pågående,Inspektion inom Systematiken i byggprojektets arbetsmiljöarbete,Systematiken i byggprojektets arbetsmiljöarbete,"Construction project coordination: Bas-P/Bas-U, arbetsmiljöplan, planning",Bas-P/Bas-U training and certification; construction H&S consulting,MEDIUM,medium,5593760936,TRE3AB AB,Unclassified (name gives no hint),68885391,TRE3AB AB,,,,
2026/061028-2,2026-09-23,2026/061028,2,Pågående,Inspektion inom Fortlöpande tillsyn Fall från samma nivå,Fall från samma nivå (slips and trips),"Slip/trip hazards: floors, housekeeping, lighting",Anti-slip flooring/mats; lighting; minor works,MEDIUM,medium,5562802115,RUSTA AB (PUBL),Retail / wholesale,72896509,RUSTA HÖÖR,,,,
2026/061030-4,2026-09-23,2026/061030,4,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5592665862,SALA BILVÅRD AB,Automotive / vehicle service,66385949,SALA BILVÅRD AB,,,,
2026/061075-2,2026-09-23,2026/061075,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,5591365969,ÖSTERMALM CAR WASH AB,Automotive / vehicle service,59035634,ÖSTERMALM CAR WASH AB,,,,
2026/061077-2,2026-09-23,2026/061077,2,Pågående,Inspektion inom Ett tryggt arbetsliv – truck (oanmäld),"Truck (forklift), announced and unannounced","Forklift permits/competence, daily checks, traffic separation, maintenance",Forklift training providers; equipment maintenance/inspection; floor marking/barriers,HIGH,high,5566824925,SAM GROSSIST AB,Retail / wholesale,44010478,SAM GROSSIST AB,,,,
2026/061123-2,2026-09-23,2026/061123,2,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,5592886286,NYVÅNG BYGG AB,Construction / civil / installation,66886037,NYVÅNG BYGG AB,,,,
2026/061141-2,2026-09-23,2026/061141,2,Pågående,Inspektion inom Utredningar av allvarliga händelser 33a,Utredningar av allvarliga händelser 33a,Investigation of serious incidents,Unknown until content is read,UNKNOWN,low,5566244173,VENTURE DESIGN LOGISTICS AB,Unclassified (name gives no hint),41036039,VENTURE DESIGN LOGISTICS AB,,,,
2026/061151-2,2026-09-23,2026/061151,2,Pågående,Inspektion inom Fortlöpande tillsyn - Riskmiljöer,Fortlöpande tillsyn - Riskmiljöer (high-risk environments),"General inspection of high-risk workplaces; deficiency can be anything (machines, chemicals, falls, SAM)","Broad: machine safety, chemicals, PPE, fall protection, consulting",MEDIUM,low,9697727163,CURRY FLAMES HANDELSBOLAG,Hospitality / food service,55168249,CURRY FLAMES HANDELSBOLAG,,,,
2026/061170-2,2026-09-23,2026/061170,2,Pågående,Inspektion inom Myndighetsgemensamma kontroller,"Myndighetsgemensamma kontroller (joint agency controls, work-life crime)",Work-life crime controls; deficiencies vary; targets are often not viable customers,Varies; poor buyer profile,LOW,low,,,Unclassified (name gives no hint),58650862,,,,,
2026/061216-2,2026-09-23,2026/061216,2,Pågående,Inspektion inom Ett tryggt arbetsliv – truck (oanmäld),"Truck (forklift), announced and unannounced","Forklift permits/competence, daily checks, traffic separation, maintenance",Forklift training providers; equipment maintenance/inspection; floor marking/barriers,HIGH,high,5594185364,FAUN NORDIC AB,Unclassified (name gives no hint),69877835,FAUN NORDIC AB,,,,
